Reference	Reference	Reference	windowed Reference	windowed Reference	windowed Reference	Sample	Sample	Sample	windowed Sample	windowed Sample	windowed Sample
Time (ps)	Mean	std error	Time (ps)	Mean	std error	Time (ps)	Mean	std error	Time (ps)	Mean	std error
128.55	-3.33333e-05		128.55	-4.253792700473333e-06		130.8	-3.06667e-05		131.15	3.2328814314484642e-06	
128.6	4.06667e-05		128.6	3.653610138243215e-06		130.85	2e-05		131.2	-4.19266692990468e-07	
128.65	7.3e-05		128.65	4.244634455539271e-06		130.9	1.6e-05		131.25	-1.201679272634157e-06	
128.7	7.53333e-05		128.7	2.4853921380091823e-06		130.95	4.66667e-05		131.3	2.1994641419799313e-08	
128.75	8.26667e-05		128.75	1.21967299996399e-06		131.0	-2.66667e-06		131.35	1.0819670557583555e-07	
128.8	-1.5e-05		128.8	-5.5533483809802054e-08		131.05	4.8e-05		131.4	9.625803860365688e-08	
128.85	-9.4e-05		128.85	-0.0		131.1	6e-06		131.45	0.0	
128.9	-0.000130667					131.15	2.53333e-05				
128.95	-0.000138					131.2	-4.66667e-06				
129.0	-8.1e-05					131.25	-2.06667e-05				
129.05	3.76667e-05					131.3	6.66667e-07				
129.1	6.83333e-05					131.35	7.33333e-06				
129.15	0.000100333					131.4	2.6e-05				
129.2	6.06667e-05					131.45	1.33333e-06				
